"id","level","points","diff","type","depth","unknown","mistakes","time","date"
"58376","5","16.774","6.5","1","2","1","3","58.0512","10/4/2024"
"72378","3","8.24264","2","0","2","0","1","45.7799","10/4/2024"
"72378","4","15.1708","3","0","1","1","0","15.0229","10/4/2024"
"41459","5","27.0215","6","1","1","1","0","36.7452","10/4/2024"
"72378","5","24.1151","5","0","2","2","0","21.0156","10/4/2024"
"41459","6","39.6706","10","1","3","3","0","48.9495","10/4/2024"
"82323","5","13.1402","4.5","1","1","0","3","109.857","10/4/2024"
"58376","6","14.774","5","1","2","0","3","82.4785","10/4/2024"
"82323","6","20.6235","3.5","0","2","1","0","13.707","10/4/2024"
"58376","7","12.774","4","1","0","0","3","56.2254","10/4/2024"
"72378","6","22.1151","8","1","2","2","3","65.1581","10/4/2024"
"24648","1","2","1","0","0","0","1","220.921","10/4/2024"
"24457","1","4","1","0","0","0","0","109.038","10/4/2024"
"24648","2","0","1.5","0","1","0","3","81.0517","10/4/2024"
"24648","3","4","1","0","0","0","0","37.5168","10/4/2024"
"24457","2","6.82843","2","0","2","0","1","118.206","10/4/2024"
"24457","3","13.7566","3","0","1","1","0","42.7536","10/4/2024"
"24648","4","5.41421","2","0","2","0","2","89.6519","10/4/2024"
"24648","5","11.0711","2","0","2","0","0","22.1584","10/4/2024"
"24648","6","18.5544","3.5","0","2","1","0","15.3931","10/4/2024"
"24457","4","22.7009","5","1","2","0","0","78.6886","10/4/2024"
"13823","1","4","1","0","0","0","0","42.5893","10/16/2024"
"66678","1","4","1","0","0","0","0","42.3126","10/16/2024"
"13823","2","9.65685","2","0","2","0","0","32.2213","10/16/2024"
"66678","2","9.65685","2","0","2","0","0","10.3469","10/16/2024"
"66678","3","17.1402","3.5","0","2","1","0","7.69353","10/16/2024"
"13823","3","17.1402","3.5","0","2","1","0","31.028","10/16/2024"
"13823","4","26.9381","6","1","1","1","0","93.7432","10/16/2024"
"13823","5","33.2627","10","2","1","1","1","108.052","10/16/2024"
"13823","6","48.2293","14","2","3","3","0","91.7028","10/16/2024"
"66678","4","15.1402","6","1","1","1","3","223.667","10/16/2024"
"66678","5","13.1402","4.5","1","1","0","3","93.399","10/16/2024"
"66678","6","20.6235","3.5","0","2","1","0","12.1314","10/16/2024"
"65458","1","4","1","0","0","0","0","43.7231","10/16/2024"
"52978","1","4","1","0","0","0","0","46.6084","10/16/2024"
"68497","1","4","1","0","0","0","0","79.5529","10/16/2024"
"65458","2","9.65685","2","0","2","0","0","30.8491","10/16/2024"
"52978","2","9.65685","2","0","2","0","0","51.0088","10/16/2024"
"68497","2","9.65685","2","0","2","0","0","34.2173","10/16/2024"
"65458","3","17.1402","3.5","0","2","1","0","30.3699","10/16/2024"
"52978","3","17.1402","3.5","0","2","1","0","25.9795","10/16/2024"
"43268","1","4","1","0","0","0","0","91.2305","10/16/2024"
"68497","3","17.1402","3.5","0","2","1","0","13.1202","10/16/2024"
"43268","2","9.65685","2","0","2","0","0","122.313","10/16/2024"
"52978","4","19.5897","6","1","1","1","2","97.2714","10/16/2024"
"68497","4","22.0392","6","1","1","1","1","61.9188","10/16/2024"
"43268","3","17.1402","3.5","0","2","1","0","16.0878","10/16/2024"
"52978","5","30.1727","7","1","3","1","0","12.1373","10/16/2024"
"52978","6","44.0291","12","2","2","2","0","44.2598","10/16/2024"
"52978","7","58.9957","14","2","3","3","0","9.73273","10/16/2024"
"68497","5","20.0392","8.5","2","1","0","3","79.7039","10/16/2024"
"43268","4","19.5897","6","1","1","1","2","89.9139","10/16/2024"
"52978","7","58.9957","14","2","3","3","0","15.7703","10/16/2024"
"43268","5","30.1727","7","1","3","1","0","10.3648","10/16/2024"
"65458","4","15.1402","6","1","1","1","3","224.489","10/16/2024"
"43268","6","44.0291","12","2","2","2","0","7.33856","10/16/2024"
"52978","7","42.0291","14","2","3","3","3","32.8739","10/16/2024"
"43268","7","58.9957","14","2","3","3","0","10.9018","10/16/2024"
"68497","6","18.0392","6.5","1","2","1","3","120.179","10/16/2024"
"68497","7","26.9834","5","1","2","0","0","34.7126","10/16/2024"
"65458","5","13.1402","4.5","1","1","0","3","137.83","10/16/2024"
"65458","6","20.6235","3.5","0","2","1","0","16.6731","10/16/2024"
"68497","8","38.2971","8","2","0","0","0","36.8373","10/16/2024"
"91459","1","4","1","0","0","0","0","26.0859","10/16/2024"
"91459","2","9.65685","2","0","2","0","0","16.2544","10/16/2024"
"15273","1","4","1","0","0","0","0","60.1873","10/16/2024"
"91459","3","17.1402","3.5","0","2","1","0","18.9236","10/16/2024"
"13477","1","4","1","0","0","0","0","62.6553","10/16/2024"
"15273","2","9.65685","2","0","2","0","0","26.0836","10/16/2024"
"13477","2","9.65685","2","0","2","0","0","24.8437","10/16/2024"
"15273","3","17.1402","3.5","0","2","1","0","29.4457","10/16/2024"
"12316","1","1","1","0","0","0","2","123.452","10/16/2024"
"13477","3","17.1402","3.5","0","2","1","0","24.7332","10/16/2024"
"12316","2","5","1","0","0","0","0","23.1311","10/16/2024"
"91459","4","22.0392","6","1","1","1","1","76.9879","10/16/2024"
"12316","3","10.6568","2","0","2","0","0","29.0424","10/16/2024"
"91459","5","33.701","8.5","1","3","2","0","20.486","10/16/2024"
"91459","6","48.6677","14","2","3","3","0","11.4155","10/16/2024"
"12316","4","18.1402","3.5","0","2","1","0","19.4477","10/16/2024"
"15273","4","22.0392","6","1","1","1","1","82.9794","10/16/2024"
"12316","5","20.5897","6","1","1","1","2","93.345","10/16/2024"
"15273","5","20.0392","8.5","2","1","0","3","85.4033","10/16/2024"
"12316","6","31.1727","7","1","3","1","0","34.9592","10/16/2024"
"12316","7","45.0291","12","2","2","2","0","24.3173","10/16/2024"
"12316","8","59.9957","14","2","3","3","0","24.5622","10/16/2024"
"15273","6","25.1382","6.5","1","2","1","1","56.2956","10/16/2024"
"13477","4","15.1402","6","1","1","1","3","155.065","10/16/2024"
"13477","5","23.6255","4.5","1","1","0","0","55.6739","10/16/2024"
"15273","7","23.1382","9.5","2","3","0","3","60.7649","10/16/2024"
"15273","8","28.4297","7","1","3","1","1","44.3102","10/16/2024"
"15273","9","41.0788","10","1","3","3","0","21.5218","10/16/2024"
"13477","6","34.9392","8","2","0","0","0","45.3038","10/16/2024"
"58946","1","4","1","0","0","0","0","53.8436","10/16/2024"
"42567","1","1","1","0","0","0","2","40.2054","10/16/2024"
"42567","2","5","1","0","0","0","0","14.0308","10/16/2024"
"58946","2","9.65685","2","0","2","0","0","21.5421","10/16/2024"
"42567","3","10.6568","2","0","2","0","0","10.1907","10/16/2024"
"42567","4","18.1402","3.5","0","2","1","0","17.9349","10/16/2024"
"58946","3","17.1402","3.5","0","2","1","0","36.9476","10/16/2024"
"58946","4","15.1402","6","1","1","1","3","83.9895","10/16/2024"
"58946","5","13.1402","4.5","1","1","0","3","237.745","10/16/2024"
"58946","6","20.6235","3.5","0","2","1","0","23.7302","10/16/2024"
"30","1","4","1","0","0","0","0","2.97797","10/16/2024"
"36577","1","4","1","0","0","0","0","31.2129","10/16/2024"
"36577","2","9.65685","2","0","2","0","0","13.9454","10/16/2024"
"39316","1","4","1","0","0","0","0","89.0184","10/16/2024"
"36577","3","17.1402","3.5","0","2","1","0","11.1614","10/16/2024"
"61152","1","4","1","0","0","0","0","58.6579","10/16/2024"
"48196","1","4","1","0","0","0","0","58.2701","10/16/2024"
"48196","2","9.65685","2","0","2","0","0","5.41563","10/16/2024"
"39316","2","5.41421","2","0","2","0","2","57.2513","10/16/2024"
"61152","2","9.65685","2","0","2","0","0","26.9345","10/16/2024"
"48196","3","17.1402","3.5","0","2","1","0","7.15214","10/16/2024"
"36577","4","26.9381","6","1","1","1","0","48.5647","10/16/2024"
"61152","3","17.1402","3.5","0","2","1","0","13.6768","10/16/2024"
"39316","3","11.0711","2","0","2","0","0","18.4979","10/16/2024"
"28651","1","-2","1","0","0","0","3","120.019","10/16/2024"
"39316","4","18.5544","3.5","0","2","1","0","8.3517","10/16/2024"
"36577","5","39.5872","10","2","1","1","0","12.7445","10/16/2024"
"28651","2","0","1","0","0","0","1","18.315","10/16/2024"
"28651","3","4.89898","1.5","0","1","0","0","6.99919","10/16/2024"
